Name,AccountId,IsPrivate,Description,StageName,Amount,TotalOpportunityQuantity,CloseDate,Type,NextStep,LeadSource,ForecastCategoryName,CampaignId,Pricebook2Id,SyncedQuoteId,ContractId,AI_Countries_Benefited_Copy__c,AI_Account_Role__c,AI_Administrative_Unit__c,AI_and_Machine_Learning__c,Loss_Reason_Picklist__c,AI_Role__c,Augmented_Virtual_Reality__c,Biotech__c,Blockchain__c,Topics__c,Connectivity__c,Countries_Involved__c,Country_Strategy_Priority__c,Is_Minute_Complete__c,ORP_ActualSignatureDate__c,External_Collaboration_Co_Financing__c,ORP_AmountInOriginalCurrency__c,Focus_Area__c,ICT_and_Big_Data__c,ORP_CRFReporting__c,ORP_Complexity__c,AI_Area__c,Intelligent_Location_Services__c,Multisector__c,Opportunity_Iniciators__c,Opportunity_Source__c,Other_IDB_Product_Related__c,ORP_DocumentTitle__c,ORP_Innovation__c,ORP_InnovativeFinance__c,ORP_Leverage__c,ORP_Maintenance__c,Quantum_Computing__c,Referred_Institution__c,ORP_OperationFocus__c,Robotics__c,Sector_Global__c,ORP_OriginalCurrency__c,Shared__c,Subsector_Global__c,X3D_Printing__c,Eligible_Pitch__c,ORP_Pipeline_Year__c,ORP_Potential__c,AI_Sub_Area__c,AI_Technology__c,ORP_PressRelease__c,Other__c,AI5Q_pdf_related__c,Loss_Reason__c,Country_Benefited__c,Beneficiary_Type__c,IDB_Lab_Amount__c,Instrument__c,Instrument_Type__c,Is5QCreated__c,Is5Qcomplete__c,Initiative__c,ORP_Reimbursable_NonReimbursable__c,ORP_Relevance__c,ORP_SGO_NSG__c,ORP_Country_Benefited__c,ORP_Id__c,ORP_Recipient_Fund__c,Is_Public_Pitch_Complete__c,DB_Competitor__c,Minute_Completion_Date__c,PSR_AreaSubAreaJustification__c,PSR_BeneficiaryTypeJustification__c,PSR_TypeOfFunds__c,PSR_TypeOfSession__c,Pitch_ID__c,Preliminary_ESG__c,Previous_Pitch_ID__c,Additional_Tags__c,SDG__c,Errors
National Early Childhood Development Programmer,0012200000VBkFjAAL,false,"An opportunity to bolster efforts related to the treatment and dissemination of knowledge to toddlers, in an effort to improve critical thinking skills from the early stages of life cycle",Initiation,,,2024-08-31,Collaboration,,,Pipeline,,,,,JM,Administrator,,false,Other,,false,false,false,Urban Development and Housing;,false,,Low,false,,,,,false,,,,false,Education;Health,IDB,External Meeting,,,,,,,false,,,false,Urban Development and Housing,,,,false,,,,,,,false,,,JM,,,,,false,false,,,,,,,,false,,,,,,,,,,,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Education:Multisector__c --INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Health:Multisector__c --
Global Tourism Conference,0012200000VBkFjAAL,false,The Global Tourism Conference bolstered Jamaica’s strategic position as a world leader in hospitality,Closed Won,30000,,2017-11-17,Events,,,Closed,,,,,BS;BB;JM,Administrator,,false,,,false,false,false,Sustainable Tourism;,false,,Medium,false,,,,,false,,,,false,,IDB,External Meeting,,,,,,,false,0012200000VBkFjAAL,,false,Sustainable Tourism,,,Development Tourism Destination & Product Management,false,,,,,,,false,,,BS;BB;JM,,,,,false,false,,,,,,,,false,,,,,,,,,,,,CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:IADB_Opportunity_tgr: System.LimitException: Too many SOQL queries: 101:--
Strategic Plan for University Hospital of the West Indies,0012200000VBkFjAAL,false,Increased operational demands have highlighted the need for a strategy to improve the institution’s facilities and operations,Initiation,200000,,2020-02-21,Knowledge Product,,,Pipeline,,,,,JM,Administrator,,false,,,false,false,false,Health;,false,,High,false,,,,,false,,,,false,,IDB,External Meeting,,,,,,,false,,,false,Health,,,Health Services,false,,,,,,,false,,,JM,,,,,false,false,,,,,,,,false,,,,,,,,,,,,CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:IADB_Opportunity_tgr: System.LimitException: Too many SOQL queries: 101:--
Development of Jamaica’s National,0012200000VBkFjAAL,false,It is hoped that blockchain technology will accelerate Jamaica’s achievement of its Vision 2030 goals,Initiation,55000,,2020-07-31,Knowledge Product,,,Pipeline,,,,,JM,Administrator,,false,,,false,false,false,Science and Technology;,false,,Medium,false,,,,,false,,,,false,,Shared,External Meeting,,,,,,,false,,,false,Science and Technology,,,ICT (Information and Communications Technology),false,,,,,,,false,,,JM,,,,,false,false,,,,,,,,false,,,,,,,,,,,,CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:IADB_Opportunity_tgr: System.LimitException: Too many SOQL queries: 101:--
Jamaica Custom’s Agency Improvement Programme,0012200000VBkFjAAL,false,Personnel from the Jamaica Customs Agency will study similar operations in Mexico in order to learn from that country’s experiences in an effort to improve its own operations,Initiation,,,2022-11-30,Knowledge Product,,,Pipeline,,,,,JM,Administrator,,false,,,false,false,false,Reform / Modernization of the State;,false,,Medium,false,,,,,false,,,,false,,IDB,External Meeting,,,,,,,false,,,false,Reform / Modernization of the State,,,Transparency and Anti-Corruption,false,,,,,,,false,,,JM,,,,,false,false,,,,,,,,false,,,,,,,,,,,,CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:IADB_Opportunity_tgr: System.LimitException: Too many SOQL queries: 101:--
Strengthening Jamaica’s Long Term Planning,0012200000VBkFjAAL,false,"Capacity building initiative to improve Jamaica’s long term planning skills and knowledge. The PIOJ is the government agency that is responsible for development planning, and as such, it is seeking to benefit from future planning exercises, and a greater degree of innovation and strategic analysis",Initiation,,,2020-03-31,Knowledge Product,,,Pipeline,,,,,JM,Administrator,,false,,,false,false,false,Industry;,false,,High,false,,,,,false,,,,false,,Shared,External Meeting,,,,,,,false,,,false,Industry,,IDB;IDB Lab,,false,,,,,,,false,,,JM,,,,,false,false,,,,,,,,false,,,,,,,,,,,,CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:IADB_Opportunity_tgr: System.LimitException: Too many SOQL queries: 101:--
"Charter, Code and Protocol Manual for the OUR",0012200000VBkFjAAL,false,"Charter, Code and Protocol Manual for the Office of Utilities Regulation (OUR) that improved/developed the institution’s governance charter",Closed Won,,,2017-03-22,Knowledge Product,,,Closed,,,,,JM,Administrator,,false,,,false,false,false,Reform / Modernization of the State;,false,,Medium,false,,,,,false,,,,false,,IDB,External Meeting,JA-T1138,,,,,,false,,,false,Reform / Modernization of the State,,,Management for Development Results,false,,,,,,,false,,,JM,,,,,false,false,,,,,,,,false,,,,,,,,,,,,CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:IADB_Opportunity_tgr: System.LimitException: Too many SOQL queries: 101:--
Compressed Natural Gas in Jamaica’s Public Bus System,0012200000VBkBfAAL,false,"Feasibility study of compressed Natural Gas in Jamaica’s Public Bus System to understand the benefits of liquified natural gas (LNG), compressed natural gas (CNG) and liquified petroleum gas (LPG) for use in the public transportation system.",In Progress,,,2020-05-31,Knowledge Product,,,Pipeline,,,,,JM,Administrator,,false,,,false,false,false,Energy;,false,,,false,,,,,false,,,,false,,IDB,External Meeting,RG-T2694,,,,,,false,,,false,Energy,,,,false,,,,,,,false,,,JM,,,,,false,false,,,,,,,,false,,,,,,,,,,,,CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:IADB_Opportunity_tgr: System.LimitException: Too many SOQL queries: 101:--
Preparación del Programa de Infraestructura para la Electrificación Rural de Guatemala,,false,Brindar apoyo para el diseño y preparación de un Programa de Electrificación Rural,Closed Won,200000,,2020-07-10,Technical Cooperation,,,Closed,,,,,GT,Administrator,Infrastructure and Energy Sector,false,,Responsible,false,false,false,Energy;,false,,,false,,,,,false,,,,false,,IDB,External Meeting,,,,,,,false,,,false,Energy,,,Rural Electrification,false,,,,,,,false,,,GT,,,,,false,false,,,,,,,,false,,,,,,,,,,,,CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:IADB_Opportunity_tgr: System.LimitException: Too many SOQL queries: 101:--
VALIU - Servicios financieros confiables para población migrante venezolana,0012200000VBmZAAA1,false,"Este proyecto ha sido seleccionado del BetterTogether Challenge. Busca promover la inclusión financiera de poblaciones vulnerables de migrantes venezolanos en Colombia a través de una plataforma móvil de servicios financieros confiables que les permita acceso al ahorro y envío de remesas a sus familiares de una manera segura, rápida y transparente.",Closed Won,600000,,2020-07-10,Project,,,Closed,,,,,CO,,,false,,,false,false,false,Financial Markets;,false,,,false,,,,,false,,,,false,,IDB LAB,Calls / Competitions,,,,,,,false,,,false,Financial Markets,,,,false,,,,,,,false,06A3s00000FYTsFEAX,,CO,Entrepreneur;Women;Poor/vulnerable/low income,600000,,Equity;Grant - Non Reimbursable Technical Cooperation,true,true,,,,,,,,false,,,,,,,,,,,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Calls / Competitions:Opportunity_Source__c --INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Equity:Instrument_Type__c --INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Grant - Non Reimbursable Technical Cooperation:Instrument_Type__c --
Apoyo a la creación ministerio ambiente,0012200000VBjjeAAD,false,Apoyo a la creación ministerio ambiente,Initiation,50000,,2020-11-01,Collaboration,,,Pipeline,,,,,UY,Administrator,Water and Sanitation Division,false,,Responsible,false,false,false,Environment and Natural Disasters;Energy Subsidy;,false,,High,false,,,,,false,,,,false,,IDB,External Meeting,,,,,,,false,,,false,Environment and Natural Disasters,,,Environmental Management and Governance,false,,,,,,,false,,,UY,,,,,false,false,,,,,,,,false,,,,,,,,,,,,CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:IADB_Opportunity_tgr: System.LimitException: Too many SOQL queries: 101:--
CSU Friendly Hands event,0012200000VBmZFAA1,false,The IDB Country Office in Suriname prepares a Friendly Hands events in autumn 2020. Foundation Betheljada which provides daycare and permanent care for children with multiple disabilities is the beneficiary of the event. The event will have a component focusing on playing and developmental activities with the clients and a component for support for cleaning and upgrading the outside of the building.,Initiation,3000,,2020-12-31,Events,,,Pipeline,,,,,SR,Administrator,Country Office in Suriname,false,,Responsible,false,false,false,Education;,false,,,false,,,,,false,,,,false,,IDB,Internal Meeting,,,,,,,false,,,false,Education,,,Primary Education,false,,,,,,,false,,,SR,,,,,false,false,,,,,,,,false,,,,,,,,,,,,CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:IADB_Opportunity_tgr: System.LimitException: Too many SOQL queries: 101:--
"Desarrollo de un Catastro Multipropósito, Recaudación Tributaria y Titulación de Terrenos  en la República Dominicana",,false,"Desarrollo de un catastro multi-propósito con instituciones clave: Ministerio de Hacienda, Dirección General de Impuestos Internos, Dirección General del Catastro Nacional, Jurisdicción Inmobiliaria e Instituto Geográfico Nacional, para: 
Un catastro multipropósito acarreará grandes beneficios para República Dominicana: 

•	Completar el inventario de propiedad del estado permite no solo administrar y proteger los bienes públicos, sino también identificar oportunidades de inversión pública y privada. 
•	Mejorar la recaudación fiscal, fortaleciendo las finanzas públicas, incluyendo iniciativas de captura de plusvalías
•	Como resultado de la inter-relación catastro-registro, se mejora la seguridad de los títulos y los arreglos de tenencia y con ello:
o	La expansión de los mercados de tierras y la facilitación de inversiones; 
o	Proporcionar garantías para obtención de créditos
o	Desarrollar y monitorear mercados de tierras
o	Reducción de las disputas
•	Mejorar los procesos de ordenamiento territorial, el planeamiento urbano e identificar oportunidades para el desarrollo de infraestructura

Iniciativa compartida RND - FMM",Initiation,,,2019-07-11,Loans,,,Pipeline,,,,,DO,Administrator,"Environment, Rural Development and Risk Management Division",false,,Responsible,false,false,false,Agriculture and Rural Development;,false,,High,false,,,,,false,,,,false,,IDB,External Meeting,,,,,,,false,,,false,Agriculture and Rural Development,,,Land Administration and Management,false,,,,,,,false,,,DO,,,,,false,false,,,,,,,,false,,,,,,,,,,,,CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:IADB_Opportunity_tgr: System.LimitException: Too many SOQL queries: 101:--
"Manejo Integrado de Cuencas y Apoyo al Diseño y Operación de Infraestructura Hídrica, Cuenca Hidrográfica del Río Yuna",0012200000VBlckAAD,false,"Estudios sobre manejo integrado del agua en la cuenca del Yuna que permita identificar potenciales inversiones en riego, abastecimiento de agua, saneamiento, control de inundaciones.",Initiation,,,2027-07-23,Loans,,,Pipeline,,,,,DO,Administrator,"Environment, Rural Development and Risk Management Division",false,,Responsible,false,false,false,Agriculture and Rural Development;,false,,High,false,,,,,false,,,,false,,IDB,Existing Operation,,,,,,,false,,,false,Agriculture and Rural Development,,,Irrigation and Drainage,false,,,,,,,false,,,DO,,,,,false,false,,,,,,,,false,,,,,,,,,,,,CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:IADB_Opportunity_tgr: System.LimitException: Too many SOQL queries: 101:--
Promoting value added wood processing in Suriname,0012200000VBljgAAD,false,Improve value added of Suriname’s timber extraction by promoting processing of wood before export.  Devise an incentive mechanism to encourage private sector companies involved in wood processing to improve their technology and their ability to further process wood.,Initiation,,,2020-10-31,Collaboration,,,Pipeline,,,,,SR,Administrator,Country Office in Suriname,false,,Responsible,false,false,false,Environment and Natural Disasters;,false,,Medium,false,,,,,false,,,,false,,Shared,Online,,,,,,,false,,,false,Environment and Natural Disasters,,IDB;IDB Lab;IDB Invest,forest Resources Management,false,,,,,,,false,,,SR,,,,,false,false,,,,,,,,false,,,,,,,,,,,,CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:IADB_Opportunity_tgr: System.LimitException: Too many SOQL queries: 101:--
Programa de Manejo Integrado de zonas costeras,0012200000VBlcmAAD,false,Estudio de manejo costero integrado en Punta Cana y las Terrenas que identificaran potenciales inversiones en ingeniera costera para preservar el capital natural y la actividad turística.,Initiation,,,2034-07-13,Loans,,,Pipeline,,,,,DO,Administrator,"Environment, Rural Development and Risk Management Division",false,,Responsible,false,false,false,Environment and Natural Disasters;,false,,High,false,,,,,false,,,,false,,IDB,Existing Operation,,,,,,,false,,,false,Environment and Natural Disasters,,,Coastal Zone Management,false,,,,,,,false,,,DO,,,,,false,false,,,,,,,,false,,,,,,,,,,,,CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:IADB_Opportunity_tgr: System.LimitException: Too many SOQL queries: 101:--
Programa de Desarrollo Turístico del Corredor Sur,0012200000VBlcmAAD,false,"Potencial proyecto de inversión en desarrollo turístico sostenible del corredor sur de RD, desde Bani hasta Pedernales. Idea desarrollada en colaboración con el Cluster Turístico de Barahona.",Initiation,,,2025-07-25,Loans,,,Pipeline,,,,,DO,Administrator,"Environment, Rural Development and Risk Management Division",false,,Responsible,false,false,false,Sustainable Tourism;,false,,,false,,,,,false,,,,false,,IDB,External Meeting,,,,,,,false,,,false,Sustainable Tourism,,,Development Tourism Destination & Product Management,false,,,,,,,false,,,DO,,,,,false,false,,,,,,,,false,,,,,,,,,,,,CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:IADB_Opportunity_tgr: System.LimitException: Too many SOQL queries: 101:--
Programa de Inversión en Gestión del Riesgo de Desastres,0012200000VBm1sAAD,false,"Potencial operación de inversión en GRD, con foco en prevención del riesgo sísmico (retrofitting de edificios públicos, fortalecimiento de capacidades, etc.)",Initiation,,,2029-07-20,Loans,,,Pipeline,,,,,DO,Administrator,"Environment, Rural Development and Risk Management Division",false,,Responsible,false,false,false,Environment and Natural Disasters;,false,,High,false,,,,,false,,,,false,,IDB,Existing Operation,,,,,,,false,,,false,Environment and Natural Disasters,,,Integrated Disaster Risk Management,false,,,,,,,false,,,DO,,,,,false,false,,,,,,,,false,,,,,,,,,,,,CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:IADB_Opportunity_tgr: System.LimitException: Too many SOQL queries: 101:--
Programa de Credito y Seguro Agropecuario,0012200000VBlcWAAT,false,Potencial operación de préstamo en crédito y seguros agropecuarios,Initiation,,,2028-07-21,Loans,,,Pipeline,,,,,DO,Administrator,"Environment, Rural Development and Risk Management Division",false,,Responsible,false,false,false,Financial Markets;,false,,,false,,,,,false,,,,false,,IDB,Existing Operation,,,,,,,false,,,false,Financial Markets,,,Insurance Market Development,false,,,,,,,false,,,DO,,,,,false,false,,,,,,,,false,,,,,,,,,,,,CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:IADB_Opportunity_tgr: System.LimitException: Too many SOQL queries: 101:--
Programa de Desarrollo Sostenible del Sector Pesquero,0012200000VBlcWAAT,false,Potencial préstamo de inversión para el desarrollo sostenible del sector pesquero artesanal de la RD.,Initiation,,,2028-07-15,Loans,,,Pipeline,,,,,DO,Administrator,"Environment, Rural Development and Risk Management Division",false,,Responsible,false,false,false,Agriculture and Rural Development;,false,,High,false,,,,,false,,,,false,,IDB,Existing Operation,,,,,,,false,,,false,Agriculture and Rural Development,,,Sustainable Agricultural Development,false,,,,,,,false,,,DO,,,,,false,false,,,,,,,,false,,,,,,,,,,,,CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:IADB_Opportunity_tgr: System.LimitException: Too many SOQL queries: 101:--
Improving   educational services of the poly technic college,0012200000VBkvMAAT,false,"Construction a a new facility  for the poly Technic college that delivers higher vocational education  in Suriname.
The school houses almost 80 employees and 1000 students and exists  almost   25 years. In 2018 the school was appointed a plot of land but still lacks the funds to  construct  a facility which it can call its own thereby reducing the chance of disruptions in its services.",Initiation,2000000,,2021-06-30,Loans,,,Pipeline,,,,,SR,Administrator,Country Office in Suriname,false,,Responsible,false,false,false,Education;,false,,,false,,,,,false,,,,false,,IDB,External Meeting,,,,,,,false,,,false,Education,,,Higher Education,false,,,,,,,false,,,SR,,,,,false,false,,,,,,,,false,,,,,,,,,,,,CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:IADB_Opportunity_tgr: System.LimitException: Too many SOQL queries: 101:--
Mangrove restoration and biodiversity monitoring in  Suriname,0012200000VBmZoAAL,false,"The objective of the project is to restore 1200 hectares of mangrove ecosystems in Bigi Pan MUMA, to improve the provision of ecosystem services such as carbon sequestration capacity, climate change resilience, and biodiversity conservation.",Initiation,1610000,,2023-12-31,Technical Cooperation,,,Pipeline,,,,,SR,Administrator,Climate Change and Sustainable Development Sector,false,,Responsible,false,false,false,Environment and Natural Disasters;,false,,Medium,false,,,,,false,,,,false,,IDB,,,,,,,,false,,,false,Environment and Natural Disasters,,,forest Resources Management,false,,,,,,,false,,,SR,,,,,false,false,,,,,,,,false,,,,,,,,,,,,CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:IADB_Opportunity_tgr: System.LimitException: Too many SOQL queries: 101:--
Plan Estratégico de Electromovilidad de República Dominicana,0012200000VBluKAAT,false,"El Plan Estratégico de Electromovilidad de República Dominicana se desprende de las consignas de impulsar las tecnologías limpias en el transporte de pasajeros y carga establecidos en la Ley 63-17. El trabajo de orden interinstitucional impone desafíos de coordinación entre el sector Transporte y Eléctrico: MEM, Comisión de Regulación, Distribuidoras, etc.",In Progress,,,2020-09-30,Knowledge Product,,,Pipeline,,,,,DO,Administrator,Transport Division,false,,Responsible,false,false,false,Transport;,false,,High,false,,,,,false,,,,false,,IDB,Existing Opportunity,,,,,,,false,,,false,Transport,,,"Equipment for Land Freight Transport, Fuel and Supplies that Promote Energy Efficiency In Road Transport and Logistic Service Teams",false,,,,,,,false,,,DO,,,,,false,false,,,,,,,,false,,,,,,,,,,,,CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:IADB_Opportunity_tgr: System.LimitException: Too many SOQL queries: 101:--
Solar PV integration for a modern Energy Transition in Guyana,0012200000VBmZtAAL,false,"•	The program will support the diversification of Guyana’s energy matrix towards the use of cleaner and renewable energy sources in the electricity generation mix through: (i) investments of around 30MW with storage utility scale solar PV generation infrastructures connected to the national electricity grid ; and (ii) the implementation of targeted technical and technological improvements for a better operation and reliability of the system.
•	This operation is fully funded by a grant from the GRIF Norwegian funds.",Initiation,80000000,,2021-05-31,Fee for Service,,,Pipeline,,,,,GY,Administrator,Energy Division,false,,Responsible,false,false,false,Energy;,false,,,false,,,,,false,,,,false,,,,,,,,,,false,,,false,Energy,,,,false,,,,,,,false,,,GY,,,,,false,false,,,,,,,,false,,,,,,,,,,,,CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:IADB_Opportunity_tgr: System.LimitException: Too many SOQL queries: 101:--
Strengthening the Transmission Network for a Sustainable Energy Matrix Diversification,0012200000VBkqvAAD,false,"•	The program will support: (i) a strategy for reduction of electricity losses and the improvement of safety and reliability standards of the system; and (ii) investments in resilient transmission and substations infrastructure for a reliable system. This includes the strengthening of the digitalization of the generation and the transmission systems like upgrades to substations, remote monitoring, GIS, fiber optic, and the installation of the AGC system for the national grid.",Initiation,30000000,,2021-06-30,Loans,,,Pipeline,,,,,GY,Administrator,Energy Division,false,,Responsible,false,false,false,Energy;,false,,,false,,,,,false,,,,false,,,,,,,,,,false,,,false,Energy,,,,false,,,,,,,false,,,GY,,,,,false,false,,,,,,,,false,,,,,,,,,,,,CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:IADB_Opportunity_tgr: System.LimitException: Too many SOQL queries: 101:--
National Energy Efficiency Program in Public Buildings,0012200000VBjMoAAL,false,•	The operation will support the promotion of energy efficiency measures in government facilities to reduce electricity consumption.  It will facilitate funds for energy audits as well as investments in EE actions and equipment in selected public building in the country. It is expected that the savings form the Natural Gas can contribute to create a sustainable fund that could be used for further EE projects in the country while also impacting in CO2 reductions and development of small energy companies (i.e. ESCOS) as project developers.,Initiation,10000000,,2021-08-31,Loans,,,Pipeline,,,,,TT,Administrator,Energy Division,false,,Responsible,false,false,false,Energy;,false,,,false,,,,,false,,,,false,,,,,,,,,,false,,,false,Energy,,,,false,,,,,,,false,,,TT,,,,,false,false,,,,,,,,false,,,,,,,,,,,,CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:IADB_Opportunity_tgr: System.LimitException: Too many SOQL queries: 101:--
"Financiando riego climáticamente inteligente (RCI) para micro, pequeños y medianos agricultores en Guatemala",,false,"Desarrollo de una estrategia de financiamiento inclusivo, línea de crédito para micro, pequeños y medianos productores agrícolas para la adopción de sistemas de riego inteligente en cadenas de producción agrícolas.",Closed Won,8600000,,2020-07-17,Project,,,Closed,,,,,GT,,,false,,,false,false,false,Agriculture and Rural Development;,false,,,false,,,,,false,,,Climate - Smart Agriculture,false,,IDB LAB,,,,,,,,false,,,false,Agriculture and Rural Development,,,,false,,,,Value Chain Transformation,,,false,06A3s00000FYNUFEA5,,GT,Poor/vulnerable/low income;Rural,3700000,,Loan;Grant - Non Reimbursable Technical Cooperation,true,true,,,,,,,,false,,,,,,,,,,,,INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Climate - Smart Agriculture:AI_Area__c --INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:bad value for restricted picklist field: Grant - Non Reimbursable Technical Cooperation:Instrument_Type__c --
Support to the mining sector  - Loan Application Connecting Businesses NV.,0012200000VBma3AAD,false,"Dear Mr. Quartier,

 

The IDB Group does not provide direct support to the mining sector so any business plan and/or further explanation would not help.

 

Thank  you again for your inquiry.

 

 

Sincerely,

Inter-American Development Bank

Country Office Suriname

 

 

From: Jeffrey Quartier <jef_q@hotmail.com> 
Sent: Tuesday, June 30, 2020 11:35 AM
To: Suriname Country Office <COF/CSU@iadb.org>
Subject: Re: Loan Application Connecting Businesses NV.

 

Dear Mr. Russell,

thank you for your reply. Would it help at all if we sent you our business plan with further details and explanation of our plans?

 

Best Regards,

Jeffrey Quartier

________________________________

From: Suriname Country Office <COF/CSU@iadb.org <mailto:COF/CSU@iadb.org> >
Sent: Friday, June 26, 2020 1:30 PM
To: Jeffrey Quartier <jef_q@hotmail.com <mailto:jef_q@hotmail.com> >
Subject: RE: Loan Application Connecting Businesses NV. 

 

Dear Mr. Quartier

 

Thank you very much for your interest in the Inter-American Development Bank Group (IDBG). 

 

As you may know, the IDBG consists of the IDB, IDB Lab and IDB Invest.

I explored the possibilities through all the three windows, but unfortunately none of the three is able to offer suitable services that fit your business idea. 

 

Thank  you again for your inquiry.

 

Best regards,

 

Mariko Russell

Chief of Operations

Country Office Suriname

Caribbean Country Department 

Tel (Internal) *251223

Mobile +597 814 0040




Peter Bruneslaan 2-4

Paramaribo, Suriname
www.iadb.org <https://nam02.safelinks.protection.outlook.com/?url=http%3A%2F%2Fwww.iadb.org%2F&data=01%7C01%7CCOF%2FCSU%40iadb.org%7Cec6f5502c4044c8ee96c08d81d02c434%7C9dfb1a055f1d449a896062abcb479e7d%7C0&sdata=f5ba8l%2BFsvfcvfeTXrvpA4HGFKpCQmkDbqQk5aHgGl4%3D&reserved=0> 

 

 

From: Jeffrey Quartier <jef_q@hotmail.com <mailto:jef_q@hotmail.com> > 
Sent: Thursday, June 25, 2020 12:39 PM
To: Suriname Country Office <COF/CSU@iadb.org <mailto:COF/CSU@iadb.org> >
Subject: Re: Loan Application Connecting Businesses NV.

 

Dear IADB,

Kindly we request an update on our application. Has it been declined?

 

Best Regards,

Jeffrey Quartier

________________________________

From: Suriname Country Office <COF/CSU@iadb.org <mailto:COF/CSU@iadb.org> >
Sent: Wednesday, February 26, 2020 7:29 PM
To: Jeffrey Quartier <jef_q@hotmail.com <mailto:jef_q@hotmail.com> >
Subject: RE: Loan Application Connecting Businesses NV. 

 

Dear Mr. Quartier,

 

Thank you for your email.

 

Please note that a reminder has been send out to the persons in charge of your request.

 

 

Sincerely,

Inter-American Development Bank

Country Office Suriname

 

 

 

From: Jeffrey Quartier <jef_q@hotmail.com <mailto:jef_q@hotmail.com> > 
Sent: Wednesday, February 26, 2020 3:52 PM
To: Suriname Country Office <COF/CSU@iadb.org <mailto:COF/CSU@iadb.org> >
Subject: Re: Loan Application Connecting Businesses NV.

 

Dear IADB,

do you have any update on our request? Again, please indicate if we need to come by to give further detail into our Business Plan.

 

Regards,

Jeffrey Quartier

________________________________

From: Suriname Country Office <COF/CSU@iadb.org <mailto:COF/CSU@iadb.org> >
Sent: Friday, January 31, 2020 2:53 PM
To: Jeffrey Quartier <jef_q@hotmail.com <mailto:jef_q@hotmail.com> >
Subject: RE: Loan Application Connecting Businesses NV. 

 

Dear Mr. Quartier,

 

Thank you for your email. It has been received in good order.

 

 

Sincerely,

Inter-American Development Bank

Country Office Suriname

 

 

 

From: Jeffrey Quartier <jef_q@hotmail.com <mailto:jef_q@hotmail.com> > 
Sent: Tuesday, January 28, 2020 11:52 AM
To: Suriname Country Office <COF/CSU@iadb.org <mailto:COF/CSU@iadb.org> >
Subject: Loan Application Connecting Businesses NV.

 

Dear IADB,

 

I am Jeffrey Quartier, financial director of Connecting Businesses NV. We have recently been granted concessions to mine minerals in the Lawa River, with our main focus being sand and gravel. Our aim is to export to French-Guyana, mainly Maripa Sula, as the French government is planning large scale housing projects and the construction of a hydro dam in the area. 

 

As we are a young company with limited assets, we wish to apply for a loan to start our operations in the area. We currently require US$ 200,000.00 in start up capital. Does your organization also facilitate in this area? If so, what are the requirements and necessary documents to proceed? 

 

We’ll gladly come by to give a more detailed account of our plans and operations.

 

Best Regards,

Jeffrey Quartier",Closed Lost,,,2020-06-30,Loans,,,Omitted,,,,,SR,Administrator,Country Office in Suriname,false,,Responsible,false,false,false,Private Firms and SME Development;,false,,,false,,,,,false,,,,false,,,,,,,,,,false,,,false,Private Firms and SME Development,,,,false,,,,,,,false,,The IDB Group does not provide direct support to the mining sector,SR,,,,,false,false,,,,,,,,false,,,,,,,,,,,,CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY:IADB_Opportunity_tgr: System.LimitException: Too many SOQL queries: 101:--
