PSR_Milestone_ID__c,Name,PSR_Description__c,PSR_Due_Day__c,PSR_Means_of_verification__c,PSR_Milestone_Code__c,PSR_Responsible__c,PSR_Type__c,PSR_Value__c,Due_Day_Help_On_New__c,Errors
PN-M1013ML4,Mínimo sesenta (60) profesores de las universidades capacitados en guías para un,Mínimo sesenta (60) profesores de las universidades capacitados en guías para un programa de formación de emprendedores universitarios.,365,Lista de participantes en las sesiones de capacitación.,,Project Coordinator,Active,60,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PN-M1013ML5,Un (1) concurso de planes de negocios realizado con un mínimo de ciento veinte (,Un (1) concurso de planes de negocios realizado con un mínimo de ciento veinte (120) concursantes.,450,Lista de participantes del concurso.,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PN-M1013ML6,Un mínimo de sesenta (60) emprendimientos en etapas pre-competitivas capacitados,Un mínimo de sesenta (60) emprendimientos en etapas pre-competitivas capacitados y fortalecidos.,630,Lista de participantes en las sesiones de capacitación. Informes de AEP.,,Project Coordinator,Active,60,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PN-M1013ML7,Red de Ángeles Inversionistas formalizada con una membresía de al menos doce (12,Red de Ángeles Inversionistas formalizada con una membresía de al menos doce (12) miembros registrados.,730,Lista de membresía de la Red.,,Project Coordinator,Active,12,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PN-M1013ML8,Mínimo dos (2) empresas dinámicas reciben inversiones de la Red de Ángeles Inver,Mínimo dos (2) empresas dinámicas reciben inversiones de la Red de Ángeles Inversionistas.,730,"Informe de las actividades del Fondo de Co-inversión, y de la gerencia de la red de angeles.",,Project Coordinator,Active,2,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PN-M1013ML9,Propuesta desarrollada y aprobada para la creación y desarrollo de empresas con,"Propuesta desarrollada y aprobada para la creación y desarrollo de empresas con alto potencial de crecimiento, incluyendo reformas impositivas que incentiven el capital semilla y emprendedor.",840,Informe de consultoría. Entregable: Documento de Propuesta de Mejoramiento del Entorno Emprendedor,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PN-M1014ML1,Condiciones previas,Condiciones previas,180,.....,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PN-M1014ML10,Plan piloto,Plan piloto,900,Evidencia de formalización: cartas a IFIs participando,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PN-M1014ML11,Talleres a reguladores realizados,Talleres a reguladores realizados,1050,Evidencia de al menos 2 talleres a reguladores realizados,,Project Coordinator,Active,2,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PN-M1014ML12,IFIS usan el sistema de score de crédito,IFIS usan el sistema de score de crédito,1110,Evidencia de que al menos 15 IFIS usan el sistema de score de crédito,,Project Coordinator,Active,15,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PN-M1014ML2,Desarrollo de códigos fuente y evidencia de pruebas funcionales,Desarrollo de códigos fuente y evidencia de pruebas funcionales,180,Visita de inspección,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PN-M1014ML3,Implementación de la base de datos estructurada incluyendo materiales de entrena,Implementación de la base de datos estructurada incluyendo materiales de entrenamiento para usuarios,250,Envío de manuales e informe de los clinetes que participaron en la prueba piloto de prueba de la implementación,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PN-M1014ML4,Informe del consultor sobre el entrenamiento del personal de la Unidad MYPE,Informe del consultor sobre el entrenamiento del personal de la Unidad MYPE,265,Informe del Consultor,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PN-M1014ML5,Entregable 4 de la consultoría de Score: Documento con especificaciones y report,Entregable 4 de la consultoría de Score: Documento con especificaciones y reportes de variables derivadas,320,Documento de referencia,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PN-M1014ML6,Documento con el modelo final del score,Documento con el modelo final del score,417,Documento de referencia,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PN-M1014ML7,Evidencia de pruebas de funcionalidad de la integración del modelo al portal de,Evidencia de pruebas de funcionalidad de la integración del modelo al portal de APC,554,.,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PN-M1014ML8,Capacitación a IFIS,Capacitación a IFIS,734,Lista de participantes en las sesiones de capacitación a IFIS en el manejo del sistema,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PN-M1014ML9,Ferias de negocios realizadas,Ferias de negocios realizadas,800,Al menos 13 ferias de negocios realizadas,,Project Coordinator,Active,13,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PN-M1016ML1,Condiciones previas,Condiciones previas,180,..,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PN-M1016ML10,Programa nacional de capacitación y asistencia técnica para mejorar la capacidad,Programa nacional de capacitación y asistencia técnica para mejorar la capacidad empresarial de los microempresarios formalizados; (ii) diseño del fondo cuncursable,421,Informe U.E.,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PN-M1016ML11,Diseño de un programa de sensibilización y promoción de los beneficios de la for,Diseño de un programa de sensibilización y promoción de los beneficios de la formalización; y desarrollo de 12 talleres de sensibilización y divulgación.,579,Informe U.E.,,Project Coordinator,Active,12,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PN-M1016ML12,"Diseño y desarrollo del Sistema Monitoreo y Evaluación del Programa y, diseño de","Diseño y desarrollo del Sistema Monitoreo y Evaluación del Programa y, diseño de sistema de información sobre sector informal.",579,Informe U.E.,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PN-M1016ML13,Implementación de un proyecto piloto en al menos un municipio.,Implementación de un proyecto piloto en al menos un municipio.,1004,Informe U.E.,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PN-M1016ML14,Diseño e implementación de una estrategia de comunicación y diseño de una imagen,Diseño e implementación de una estrategia de comunicación y diseño de una imagen de marca del proyecto público-privada.,579,Informe U.E.,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PN-M1016ML15,Estudio de casos e historias de cambio que reflejen el impacto del proyecto.,Estudio de casos e historias de cambio que reflejen el impacto del proyecto.,1370,Informe U.E.,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PN-M1016ML16,Contratación firma consultora,Contratación firma consultora,274,Copia del contrato con la firma consultora,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PN-M1016ML2,Analisis y mapeo de la situación de la informalidad (Línea Base del Programa),Analisis y mapeo de la situación de la informalidad (Línea Base del Programa),421,Informe U.E.,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PN-M1016ML3,"Inventario y propuesta de reformas legales, normativas y reglamentarias, que pro","Inventario y propuesta de reformas legales, normativas y reglamentarias, que propicien el ingreso de los sectores informales a los beneficios del mercado formal; y, (ii) propuesta de reformas legales para establecer incentivos tribuitarios y económicos pa",599,Informe de U.E.,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PN-M1016ML4,"Propuesta para aplicación de mejoras en los procesos institucionales, administra","Propuesta para aplicación de mejoras en los procesos institucionales, administrativos y operativos, para apertura y cierre de empresas, tramitología de para licencias de funcionamiento de informales, acceso a derechos de propiedad, contrataciones y soluci",579,Informe U.E.,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PN-M1016ML5,Estudio con la descripción del estado de situación de la normativa vigente y las,Estudio con la descripción del estado de situación de la normativa vigente y las diferencias con las mejores prácticas.,421,Informe U.E.,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PN-M1016ML6,Propuesta de marco normativo para la transparencia y protección al usuario de se,"Propuesta de marco normativo para la transparencia y protección al usuario de servicios bancarios desarrollado en base de  las mejores prácticas; y, (II)  sistema de información para reducir tiempos y costos en los procesos de atención al usuario bancario",702,Informe U.E.,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PN-M1016ML7,Propuesta de marco normativo de las microfinanzas actualizado de acuerdo a las m,Propuesta de marco normativo de las microfinanzas actualizado de acuerdo a las mejores prácticas.,599,Informe U.E.,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PN-M1016ML8,Desarrollo del marco legal y normativo para mejorar los procesos de constitución,"Desarrollo del marco legal y normativo para mejorar los procesos de constitución, administración y ejecución de garantías mobiliarias e inmobiliarias.",599,Informe U.E.,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PN-M1016ML9,(1) Mapeo y descripción de la institucionalidad pública y privada de apoyo al de,(1) Mapeo y descripción de la institucionalidad pública y privada de apoyo al desarrollo empresarial de los informales; y (2) esquema de coordinación interinstitucional y diseño de la arquitecutra del sistema infomático.,822,Informe U.E.,,Project Coordinator,Active,2,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PN-M1017ML1,Condiciones previas,Condiciones previas,180,.....,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PN-M1017ML10,Consultoría para la identificación de oportunidades de alianzas  entre empresas,Consultoría para la identificación de oportunidades de alianzas  entre empresas culturales desarrollada,609,Informe de consultoría.,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PN-M1017ML11,Empresas constituidas,Empresas constituidas,852,Visitas de Inspección y Planes de Negocios,,Project Coordinator,Active,20,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PN-M1017ML12,Proyectos empresariales culturales emblemáticos en desarrollo,Proyectos empresariales culturales emblemáticos en desarrollo,852,Visitas de Inspección y Planes de Negocios,,Project Coordinator,Active,2,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PN-M1017ML13,Alianzas empresariales en desarrollo.,Alianzas empresariales en desarrollo.,852,Visitas de Inspección y Planes de Negocios,,Project Coordinator,Active,3,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PN-M1017ML14,Emprendedores reciben asistencia técnica para la consolidación de su emprendimie,Emprendedores reciben asistencia técnica para la consolidación de su emprendimiento.,1096,Visitas de Inspección y Planes de Negocios,,Project Coordinator,Active,50,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PN-M1017ML15,Proyectos empresariales culturales emblemáticos desarrollados.,Proyectos empresariales culturales emblemáticos desarrollados.,1096,Visitas de Inspección y Planes de Negocios,,Project Coordinator,Active,4,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PN-M1017ML16,Plan de sostenibilidad desarrollado.,Plan de sostenibilidad desarrollado.,1096,Informe de consultoría.,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PN-M1017ML2,Identificación y establecimiento de redes dentro del sector privado,Identificación y establecimiento de redes dentro del sector privado,183,Informe de consultoría.,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PN-M1017ML3,Bases de la convocatoria y del concurso realizadas. Proceso de selección diseñad,Bases de la convocatoria y del concurso realizadas. Proceso de selección diseñado.,183,Informe de consultoría.,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PN-M1017ML4,Diseño del sistema de promoción de la actividad cultural del Casco Antiguo,Diseño del sistema de promoción de la actividad cultural del Casco Antiguo,183,Informe de consultoría.,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PN-M1017ML5,"Imagen corporativa diseñada, implementada y divulgada","Imagen corporativa diseñada, implementada y divulgada",395,"Informes de avance del proyecto, imagen corporativa y página web.",,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PN-M1017ML6,Espacios para la instalación de empresas culturales identificados y negociados.,Espacios para la instalación de empresas culturales identificados y negociados.,395,Contrato de alquiler o cesión,,Project Coordinator,Active,5,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PN-M1017ML7,Metodología de capacitación para subsectores elaborada.,Metodología de capacitación para subsectores elaborada.,395,Informe de consultoría.,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PN-M1017ML8,Emprendedores reciben asistencia técnica para la consolidación de su emprendimie,Emprendedores reciben asistencia técnica para la consolidación de su emprendimiento,609,Visitas de Inspección,,Project Coordinator,Active,8,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PN-M1017ML9,Proyectos empresariales culturales emblemáticos en desarrollo,Proyectos empresariales culturales emblemáticos en desarrollo,609,Visitas de Inspección,,Project Coordinator,Active,2,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PN-M1018ML1,Condiciones previas,Condiciones previas,180,.....,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PN-M1018ML10,Presentación de Informe con propuesta de señalización y mapeo de los senderos de,Presentación de Informe con propuesta de señalización y mapeo de los senderos de manglar.,822,"Documentos con propuestas de diseño, señalización y mapeo entregado a la Autoridad para aprobación.",,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PN-M1018ML11,Contratación de consultoria para estudio de valoración.,Contratación de consultoria para estudio de valoración.,822,Documento de estudio entregado para la revisión de la Autoridad.,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PN-M1018ML12,Ordenamiento de bancos langosteros en el Parque Nacional marino del Golfo de Chi,Ordenamiento de bancos langosteros en el Parque Nacional marino del Golfo de Chiriquí y su zona de influencia.,913,Personería jurídica tramitada de la organización empresarial.,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PN-M1018ML13,Elaboración del estudio sobre pesca deportiva que contempla un plan de capacitac,Elaboración del estudio sobre pesca deportiva que contempla un plan de capacitación a la autoridades competentes.,1004,Estudio y nota de entrega formal a las autoridades e informes de los talleres de consulta (resultados ) .,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PN-M1018ML2,Taller diagnóstico de marco normativo.,Taller diagnóstico de marco normativo.,183,Informe de resultados del taller.,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PN-M1018ML3,"Consultor contratado, especialista en cetáceos para el diseño de la estrategia.","Consultor contratado, especialista en cetáceos para el diseño de la estrategia.",183,Contratación del consultor y presentación del plan de trabajo.,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PN-M1018ML4,"Entrega del estudio de factibilidad técnico, ecónomico y ambiental para la extra","Entrega del estudio de factibilidad técnico, ecónomico y ambiental para la extracción de la concha negra por el consultor, para revisión.",365,"Documento final del estudio entregado por el consultor, nota entrega del consultor.",,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PN-M1018ML5,Contratación del consultor para diágnostico del estado del recurso y ordenamient,Contratación del consultor para diágnostico del estado del recurso y ordenamiento de bancos de langostas.,274,Contrato firmado y plan de trabajo de la consultoría.,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PN-M1018ML6,Implementación de la estrategia de cetáceos .,Implementación de la estrategia de cetáceos .,274,"Lista de asistencia a talleres, memorias de talleres, materiales distribuídos.",,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PN-M1018ML7,"Desarrollo microempresarial, ecoturístico en comunidades pesqueras del Golfo de","Desarrollo microempresarial, ecoturístico en comunidades pesqueras del Golfo de Chiriquí, fortalecimiento de dos existentes y establecimiento de dos nuevas.",639,Acta de consititución de dos empresas comunales y manuales operativos de las empresas comunales.,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PN-M1018ML8,Guías de manejo aceptable y manual de guardaparques.,Guías de manejo aceptable y manual de guardaparques.,548,Documento de guía de manejo aceptable y manual de guardaparque con los diseños gráficos entregados a la autoridad competente.,,Project Coordinator,Active,2,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PN-M1018ML9,Informe final de plan de comercialización de concha negra.,Informe final de plan de comercialización de concha negra.,639,Documento de propuesta de plan de comercialización entregado por el consultor.,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PN-M1019ML1,Condiciones previas,Condiciones previas,180,.....,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PN-M1019ML2,"Tres manuales (crédito, costeo y asistencia técnica constructiva) terminados","Tres manuales (crédito, costeo y asistencia técnica constructiva) terminados",419,Tres manuales terminados,,Project Coordinator,Active,3,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PN-M1019ML3,Sistema informático y equipo comercial listos,Sistema informático y equipo comercial listos,456,Informes de consultores y proveedores,,Project Coordinator,Active,2,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PN-M1019ML4,Monitoreo intermedio 02 completado,Monitoreo intermedio 02 completado,673,Informe de Monitoreo 03,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PN-M1019ML5,Validación del mercado objetivo completado (para masificación),Validación del mercado objetivo completado (para masificación),632,Informe de Consultores,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PN-M1019ML6,Plan de negocio para masificación terminado,Plan de negocio para masificación terminado,688,Plan documentado,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PN-M1019ML7,Estrategia de mercadeo a nivel nacional terminada,Estrategia de mercadeo a nivel nacional terminada,720,Documento de estrategia final,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PN-M1020ML1,Condiciones previas,Condiciones previas,180,.....,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PN-M1020ML2,Estructuracion de sucursales,Estructuracion de sucursales,62,Reportes generados por sucursales,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PN-M1020ML3,Estudio de factibilidad y diseño de un producto financiero adicional,Estudio de factibilidad y diseño de un producto financiero adicional,248,Informe y diseno del producto,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PN-M1020ML4,Adaptacion e implementacion de un sistema de informacion de gestion integrado,Adaptacion e implementacion de un sistema de informacion de gestion integrado,427,Utilizacion del sistema y reportes,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PN-M1020ML5,Plan de conversion a banco para PYMES,Plan de conversion a banco para PYMES,613,Plan de conversion,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PN-M1020ML6,Estudio de factibilidad y diseño de 2 productos financieros adicionales,Estudio de factibilidad y diseño de 2 productos financieros adicionales,792,Informe y diseno de los productos,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PN-M1020ML7,Adaptacion e implementacion de la tecnología SAF para la captación de ahorro,Adaptacion e implementacion de la tecnología SAF para la captación de ahorro,978,Utilizacion de la tecnología SAF para la captación de ahorro,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PN-M1020ML8,Plan estrategico e integracion de los procesos de gestion de riesgos,Plan estrategico e integracion de los procesos de gestion de riesgos,1157,Plan estrategico,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PN-M1022ML1,Condiciones previas,Condiciones previas,180,.....,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PN-M1023ML1,Condiciones previas,Condiciones previas,180,.....,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PN-M1024ML1,Condiciones previas,Condiciones previas,180,.....,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PN-M1026ML1,Condiciones previas,Condiciones previas,180,.....,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PN-M1027ML1,Condiciones previas,Condiciones previas,180,.....,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PN-M1029ML1,Condiciones previas,Condiciones previas,180,.....,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PN-M1029ML2,Capacitación al menos el 90% de la fuerza de ventas en la entrega de la propuest,Capacitación al menos el 90% de la fuerza de ventas en la entrega de la propuesta de valor al segmento.,330,Reporte proporcionado por Banco Delta,,Project Coordinator,Active,90,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PN-M1029ML3,Masificación de la oferta de valor creada,Masificación de la oferta de valor creada,558,Reporte proporcionado por Banco Delta,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PN-M1029ML4,Al menos 200 empresari@s capacitadas,Al menos 200 empresari@s capacitadas,690,Reporte proporcionado por Banco Delta,,Project Coordinator,Active,200,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PN-M1030ML1,Condiciones previas,Condiciones previas,180,.....,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PN-S1002ML1,Condiciones previas,Condiciones previas,180,.....,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PN-S1002ML10,Informe final sobre la sucesión de la Gerencia General y las capacidades de las,"Informe final sobre la sucesión de la Gerencia General y las capacidades de las Juntas Directivas, de Vigilancia y administración",1096,Informe final de asesoría en gobernabilidad,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PN-S1002ML2,Línea de base del proyecto  y sistema de monitoreo completado,Línea de base del proyecto  y sistema de monitoreo completado,183,Informe final de consultoría aprobado por PROCAJA.,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PN-S1002ML3,Estudio de viabilidad y ubicación de agencia para Coclé completado.,Estudio de viabilidad y ubicación de agencia para Coclé completado.,183,"Documento del estudio de mercado, aprobado por PROCAJA.",,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PN-S1002ML4,Auditoría de sistemas realizada y elaborados términos de referencia para la nuev,Auditoría de sistemas realizada y elaborados términos de referencia para la nueva aplicación de software de cartera y contabilidad.,183,"Informe de auditoría de sistemas y Documentos de términos de referencia, aprobado por PROCAJA",,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PN-S1002ML5,Estrategia de mercadeo y promoción rediseñada y materiales promocionales diseñad,Estrategia de mercadeo y promoción rediseñada y materiales promocionales diseñados.,365,Informe final de consultoría y materiales aprobados por PROCAJA,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PN-S1002ML6,Nueva aplicación de software de cartera y contabilidad diseñada e implementada e,Nueva aplicación de software de cartera y contabilidad diseñada e implementada en la oficina central.,365,Informe de avance de consultoría de diseño y desarrollo aplicación de software de cartera y contabilidad.,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PN-S1002ML7,Propuesta de marco operativo y normativo para la gestión de riesgos en PROCAJA.,Propuesta de marco operativo y normativo para la gestión de riesgos en PROCAJA.,639,Informe intermedio de consultoría en gestión de riesgos,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PN-S1002ML8,Aplicación de software de cartera y contabilidad implementada en la totalidad de,Aplicación de software de cartera y contabilidad implementada en la totalidad de las Cajas Rurales y 100% del personal capacitado en su uso,731,"Informe final del proveedor, memorias de capacitación al personal y garantía de mantenimiento.",,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PN-S1002ML9,Informe sobre proceso de avance en selección del nuevo Gerente General y asisten,"Informe sobre proceso de avance en selección del nuevo Gerente General y asistencia a las Juntas Directiva, de Vigilancia y personal de mandos medios.",731,Informe intermedio de asesoría en gobernabilidad,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PR-M1001ML1,Condiciones previas,Condiciones previas,180,.....,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PR-M1003ML1,Condiciones previas,Condiciones previas,180,.....,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PR-M1004ML1,Condiciones previas,Condiciones previas,180,.....,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PR-M1005ML1,Condiciones previas,Condiciones previas,180,.....,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PR-M1007ML1,Condiciones previas,Condiciones previas,180,.....,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
PR-M1008ML1,Condiciones previas,Condiciones previas,180,.....,,Project Coordinator,Active,1,,REQUIRED_FIELD_MISSING:Required fields are missing: [Operation__c]:Operation__c --
